Full Design,Target Ratio Objective,Stiffness Objective,Feasibility Score,Stability Score
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100001010010101,0.058500822715255016,-0.7016466066105524,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001100000011000101001110001101,0.015851324003281687,-0.5378341394332732,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001010000011000101001100001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000011000101001110001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001010000011000101001100001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001010000011000101001100001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001010000011000101001100001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001010000011000101001100001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000011000101001110001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001100000011000101001100001101,0.019134240695146427,-0.5755963881095091,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001100000011000101001100001101,0.019134240695146427,-0.5755963881095091,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001100000011000101001100001101,0.019134240695146427,-0.5755963881095091,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001000000111000100101010010101,0.042197923345997465,-0.6288265802099167,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001100000111000101001100001101,0.02602904426401582,-0.5895200607300202,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000011000101001110001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000011000101001110001101,0.01646864342103375,-0.5706154278456519,1.0,1.0
101000001100000011000101001100001101,0.019134240695146427,-0.5755963881095091,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001100000011000101001100001101,0.019134240695146427,-0.5755963881095091,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
100000001000000100000100101010010101,0.06428683200212387,-0.7531185803094718,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000111000100101010010101,0.042197923345997465,-0.6288265802099167,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001100000011000101001110001101,0.015851324003281687,-0.5378341394332732,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000101101010001101,0.02896790878635085,-0.6207590411129784,1.0,1.0
101000001000000101000100101010000101,0.058541675889758164,-0.718808561638583,1.0,1.0
101000001000000101000100101010010101,0.04915546417120757,-0.6727310451327506,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
101000001010000011000101001110001101,0.0,-0.5321342441674862,1.0,1.0
101000001000000101000101101010011101,0.02778474446029736,-0.5920226362842448,1.0,1.0
