Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score,Orientation Score
101010001010010001000101001010001111,2904,0.027411599644733563,-109.78548813253668,0.13705799822366782,933176.6491265618,1.1102230246251565E-16,0.8,1.0
101010011010000001001111001010001101,1042,0.025488104282489023,-102.21671755995014,0.1274405214124451,868842.0992595762,1.1102230246251565E-16,0.9,1.0
101011011100011111101111011100101101,238,0.024745396674734722,-88.68364171356157,0.1237269833736736,753810.9545652734,1.1102230246251565E-16,1.0,1.0
111000001010000001000011001010001111,9656,0.08,-125.68858131487892,0.4,1068352.9411764708,1.1102230246251565E-16,0.6000000000000001,0.9
111000001010000001000111001010001111,6232,0.1,-142.4470588235294,0.5,1210800.0,1.1102230246251565E-16,0.6000000000000001,0.9
101011001011010001011111001100101111,518,0.010503429373127982,-94.06214325291663,0.05251714686563991,799528.2176497913,1.1102230246251565E-16,1.0,1.0
101000001010000001000111001010001111,5436,0.08,-133.54411764705884,0.4,1135125.0000000002,1.1102230246251565E-16,0.6000000000000001,0.9
111000001010000001000110001000000111,2512,0.2,-170.9364705882353,1.0,1452960.0,1.1102230246251565E-16,0.6000000000000001,0.8
111000001010000001001111001010001111,7260,0.0666666666666667,-128.20235294117646,0.3333333333333335,1089720.0,1.1102230246251565E-16,0.6000000000000001,0.9
101111110011011011001101011101101110,164,0.0735501519474194,-64.43319397735384,0.36775075973709703,547682.1488075076,1.1102230246251565E-16,1.0,1.0
111000001010000001000101001010001111,3940,0.08,-133.54411764705884,0.4,1135125.0000000002,1.1102230246251565E-16,0.6000000000000001,0.9
100000001010000000000111001010001111,1430,0.16,-152.6218487394958,0.8,1297285.7142857143,1.1102230246251565E-16,0.6000000000000001,0.9
111000001010000001000111001010001101,5434,0.08,-133.54411764705884,0.4,1135125.0000000002,1.1102230246251565E-16,0.6000000000000001,0.9
111110000011110001000111001010001110,646,0.007119474049691288,-88.02202110586452,0.03559737024845644,748187.1793998484,1.1102230246251565E-16,0.8,1.0
101000001010000001000111001010001111,5852,0.08,-133.54411764705884,0.4,1135125.0000000002,1.1102230246251565E-16,0.6000000000000001,0.9
111000001010000001000110001000000111,3340,0.2,-170.9364705882353,1.0,1452960.0,1.1102230246251565E-16,0.6000000000000001,0.8
111000001010000001001111001010001111,3938,0.0666666666666667,-128.20235294117646,0.3333333333333335,1089720.0,1.1102230246251565E-16,0.6000000000000001,0.9
110000101011011010100101011101111111,142,0.09185312196813691,-95.23710765698087,0.45926560984068454,809515.4150843373,1.1102230246251565E-16,1.0,0.9
101000001010000001000111001010001111,7844,0.08,-133.54411764705884,0.4,1135125.0000000002,1.1102230246251565E-16,0.6000000000000001,0.9
111001001010010001000111001010001111,7942,0.033333333333333326,-116.5475935828877,0.16666666666666663,990654.5454545454,1.1102230246251565E-16,0.6000000000000001,1.0
111000001010000001001111001011001111,6654,0.0652464479147539,-122.34204337252538,0.32623223957376946,1039907.3686664657,1.1102230246251565E-16,0.8,0.9
111000001010000001001111001010001101,1254,0.040000000000000036,-118.70588235294119,0.20000000000000018,1009000.0000000001,1.1102230246251565E-16,0.6000000000000001,1.0
101010001010000101001111001010101111,648,0.08386024314969287,-123.07481831608854,0.41930121574846435,1046135.9556867526,1.1102230246251565E-16,1.0,0.9
111000001010000001000111001010001111,3282,0.1,-142.4470588235294,0.5,1210800.0,1.1102230246251565E-16,0.6000000000000001,0.9
100100010101010000101010010111010100,116,0.015523872070399514,-64.8880083148699,0.07761936035199757,551548.070676394,1.1102230246251565E-16,1.0,1.0
111000001010000001000111001010001111,4734,0.1,-142.4470588235294,0.5,1210800.0,1.1102230246251565E-16,0.6000000000000001,0.9
111001001010000001000101001010001111,4214,0.040000000000000036,-118.70588235294119,0.20000000000000018,1009000.0000000001,1.1102230246251565E-16,0.6000000000000001,1.0
111000001010000001000111001010001111,2014,0.1,-142.4470588235294,0.5,1210800.0,1.1102230246251565E-16,0.6000000000000001,0.9
111000001010010001001111001010001111,5132,0.033333333333333326,-116.5475935828877,0.16666666666666663,990654.5454545454,1.1102230246251565E-16,0.6000000000000001,1.0
111000001010000001000111001010001111,5772,0.1,-142.4470588235294,0.5,1210800.0,1.1102230246251565E-16,0.6000000000000001,0.9
110000001010000000000111001010001111,6222,0.16666666666666669,-160.2529411764706,0.8333333333333334,1362150.0000000002,1.1102230246251565E-16,0.6000000000000001,0.8
111010001000000111000111101010001111,566,0.12980246971482734,-134.80283285378235,0.6490123485741367,1145824.07925715,1.1102230246251565E-16,1.0,0.9
