Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
111101111000000011100100100001110111,9530,7.955011650143967,7.422934360684346,1.3877787807814457E-16,1.0
000011100101100010011000101100110000,150,7.991902812531761,7.67961354080905,1.3877787807814457E-16,1.0
001110011001010101110111101001101001,1626,7.9351841200694375,7.510553061337024,1.3877787807814457E-16,1.0
100110011101010010010110001011010111,3716,7.963595843261382,7.375150046409114,1.3877787807814457E-16,1.0
011001001100111111110110101001100001,6568,7.935882125350154,7.501238986748028,1.3877787807814457E-16,1.0
011000000001110001011100000101100000,2966,7.951639522488479,7.687599281250468,1.3877787807814457E-16,1.0
010001101011001000010110111101000011,9322,7.937848997026026,7.542816560737444,1.3877787807814457E-16,1.0
001001111111001011011110100011100011,9396,7.9449598994807955,7.575933247374285,1.3877787807814457E-16,1.0
010101011011010110110100000101110011,7444,7.933167437978471,7.6194855803433015,1.3877787807814457E-16,1.0
110101111101001010010111011001101101,8506,7.952439380904257,7.412071401895284,1.3877787807814457E-16,1.0
110010001100011110001101010001101111,3212,7.9640275195225785,7.320611412993359,1.3877787807814457E-16,1.0
001010000001111011110110101111100000,3966,7.9309930015212915,7.574277909823102,1.3877787807814457E-16,1.0
111110110001101011010100011110100110,6326,7.950529036415068,7.485480099846746,1.3877787807814457E-16,1.0
011001011101101011110011100110101011,9450,7.937618437875095,7.545142745210688,1.3877787807814457E-16,1.0
001010010001011111011101001110011000,1812,7.983577846545864,7.674018968030813,1.3877787807814457E-16,1.0
000000111010111100110000101111110001,1426,7.991545282966526,7.700880760636974,1.3877787807814457E-16,1.0
111010011001100011110000101010100101,4522,7.956385443150619,7.481733687328285,1.3877787807814457E-16,1.0
011101100000001111010110111101100010,7758,7.960416547145373,7.426319719796591,1.3877787807814457E-16,1.0
111101111011011011010011100101101111,8578,7.934103051094249,7.498622712576866,1.3877787807814457E-16,1.0
100111111001110110010100101010110111,1382,7.941991359624026,7.452203433021073,1.3877787807814457E-16,1.0
011110010011101111111101101011101010,1726,7.939651011741341,7.541078826194273,1.3877787807814457E-16,1.0
