Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score,Orientation Score
101000001010000001000101001010001101,2382,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
101000001000000011000101001010001101,2286,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001000000011000101001010001101,3452,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
011100001010001111010110100101000011,0,15.947149712869376,-70.97174976310342,0.4473497784321453,738050.1509224342,1.1102230246251565E-16,1.0,0.9
100000001001000100000101001010001101,978,0.2637069949074128,-127.33614667960049,0.833984909496782,1083180.9818871727,0.8,0.9,0.9
100000001010000000000101001010001101,1344,0.13333333333333336,-128.20235294117646,0.6666666666666667,1089720.0,1.0,0.6000000000000001,0.9
101000001000000001000101001010001101,5158,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001000000001000101001010001101,8902,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001010000001000101001010001101,1278,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
110010111000100000000111001100011111,126,16.005732041190754,-102.76471917522038,0.74026142003904,1008290.3909254282,1.1102230246251565E-16,1.0,0.8
111001011110111101010001100100001111,160,15.907825880765678,-55.27545166634903,0.2507306179136599,604631.6171000218,1.1102230246251565E-16,0.9,1.0
101110001000000001000101001010001101,1234,0.06817962315622601,-110.8565000265162,0.34089811578113005,942280.2502253877,1.0,0.8,1.0
101000001000000001000101001010001101,9070,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
111111001001110111011111010110101101,160,15.85907305904012,-67.17716041732302,0.006966509285869282,705796.1414833008,1.1102230246251565E-16,1.0,1.0
100000001010000000000101001010001101,1424,0.13333333333333336,-128.20235294117646,0.6666666666666667,1089720.0,1.0,0.6000000000000001,0.9
101000001000000001000101001010001101,3094,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101010101001000101000101001010011101,1094,0.7667999664468858,-97.85245122323235,0.33914981055433635,837687.0804343311,0.20000000000000018,1.0,1.0
101000001000000001000101001010001101,2912,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
100010001101000000000101001100101101,738,0.24785568601503533,-120.00647275864492,0.7547283650348946,1020878.7535590503,0.8,1.0,0.8
101000001000000001000101001010001101,6068,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101001101010010101110111101001101111,0,15.875506217638081,-74.57361262963254,0.08913230227567792,768665.9852879316,1.1102230246251565E-16,1.0,1.0
101000001010000001000101001010001101,8126,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
101000001000000011000101001010001101,6646,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001000000001000101001010001101,2216,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001000000001000101001010001101,2466,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101100001000000011000101001110001101,1386,0.031819094923857726,-97.32395602382468,0.15909547461928863,827253.6262025097,1.0,1.0,1.0
101000001100000001000101001010001101,8560,0.06388547761548755,-107.76640085196549,0.31942738807743776,916014.4072417066,1.0,0.8,1.0
111111001001110111010111010100001111,256,15.899972562920803,-76.15374470172769,0.2114640286892857,782097.1079007405,1.1102230246251565E-16,1.0,1.0
101000001000000011000101001010001101,2474,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001010000001000101001010001101,3734,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
101000001000000001000101001010001101,1684,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
100010001000000000000101000100101101,822,0.19036378471040885,-113.78267055966217,0.9518189235520442,967152.6997571284,1.0,0.7000000000000001,0.8
101000001000000001000101001010001101,1756,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
111001001000010111010101001100001111,646,15.89056761386357,-86.85852845936876,0.1644392834031161,873087.7698406895,1.1102230246251565E-16,1.0,1.0
101000001000000001000101001010001101,6972,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001000000001000101001010001101,5108,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
001110001000000001000101001010001001,622,0.07825272699953016,-60.82051063821172,0.3912636349976508,516974.34042479965,1.0,0.6000000000000001,1.0
101000001011000001011111001100011111,548,15.896103515844924,-83.2852179132984,0.1921187933098919,842714.6301990914,1.1102230246251565E-16,1.0,1.0
101110001001010001000111101100011101,290,15.918508600040088,-83.80173991492057,0.30414421428570526,847105.06721288,1.1102230246251565E-16,1.0,0.9
101000001000000001000101001010001101,7108,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
100000001001000000000100001010000101,768,0.1998,-7.120945362535096E-7,0.999,0.006052803558154831,1.0,0.40000000000000013,0.7
101000001000000011000101001010001101,8430,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001010000001000100001010000101,9776,0.13333333333333336,-128.20235294117646,0.6666666666666667,1089720.0,1.0,0.6000000000000001,0.9
001110001001101101011011000100111001,230,15.98743192244019,-32.41493527894072,0.648760826286217,410317.22780705115,1.1102230246251565E-16,0.9,1.0
101110001000010001010111001111101101,324,15.91292832687236,-82.04546740266198,0.2762428484470596,832176.750858682,1.1102230246251565E-16,1.0,1.0
101000001000000001000101001010001101,5360,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
100010001001000000000101001010001101,860,0.16975492855954266,-125.32494674748831,0.8487746427977133,1065262.0473536507,1.0,0.8,0.9
101000001000000001000101001010001101,4780,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001010000001000101001011001101,2130,0.0,-99.73265363667957,0.0,847727.5559117764,1.0,0.8,1.0
101000001000000001000101001010001101,2524,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001000000011000101001010001101,5676,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001000000001000101001010001101,2848,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
110111000000001000010100100010100110,0,15.907805447377303,-57.93111753332276,0.25062845097178243,627204.7769692986,1.1102230246251565E-16,1.0,0.9
101000001000000011000101001010001101,8814,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
100010001001000010000101001011001101,722,0.37000719995080295,-109.41384944205504,0.7407922516722332,931903.4346292069,0.6000000000000001,1.0,0.9
101110001001000001000101001010001101,872,0.06505031194101252,-103.49714527602148,0.3252515597050626,879725.7348461826,1.0,0.8,1.0
101100001000000011000101001010001101,1292,0.023615032630766097,-99.10952074126185,0.11807516315383049,842430.9263007257,1.0,0.8,1.0
101000001010000001000101001010001101,8544,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
101110001000000001000101001010001101,1282,0.06817962315622601,-110.8565000265162,0.34089811578113005,942280.2502253877,1.0,0.8,1.0
101000001000000001000101001010001101,8978,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101000001000000011000101001010001101,7536,0.04194835904795333,-107.24706890037574,0.20974179523976666,911600.0856531938,1.0,0.8,1.0
101000001010000001000101001010001101,7898,0.0,-106.83529411764705,0.0,908100.0,1.0,0.6000000000000001,1.0
100010001001000000000101000011001101,936,0.1640838430664043,-102.19033988384214,0.8204192153320216,868617.8890126582,1.0,1.0,0.9
101000001000000001000101001010001101,4520,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
011001111100010001010011001100011011,130,15.959905704675357,-43.78497724396426,0.5111297374620545,506962.58450975124,1.1102230246251565E-16,0.9,1.0
101000001000000001000101001010001101,9666,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
101100001000000001000101001001001101,5946,0.059638233451419186,-111.71373055770574,0.29819116725709593,949566.7097404988,1.0,0.8,0.9
101000001000000011000101001001001101,8084,0.06132704598304935,-108.6373790867226,0.3066352299152467,923417.7222371422,1.0,0.8,0.9
101000001000000001000101001010001101,6166,0.0666666666666667,-116.5475935828877,0.3333333333333335,990654.5454545454,1.0,0.6000000000000001,1.0
