Full Design,NFE,Target Ratio Objective,Stiffness Objective,Feasibility Score,Stability Score
011000000000000011000100001000000010,5122,0.1259137919867702,-0.7939875853986266,1.0,0.6000000000000001
010010000000000010000100001000000010,8554,0.33398372798621007,-0.8036639088794859,0.8,0.6000000000000001
010000100000000000000100011000000010,4202,0.7564733153816068,-0.24796804715383114,0.40000000000000013,0.6000000000000001
010000000110000000000100000100000010,2736,0.47294922952864715,-0.4277522984069082,0.6000000000000001,0.6000000000000001
010000000000000000001100000000010010,2554,0.44484821852077705,-0.41575768714711603,0.6000000000000001,0.30000000000000016
011000000000000001000101001000001010,3192,0.06666666666666668,-0.7058823529411766,1.0,0.30000000000000016
010000000010100000001100001001000010,2330,1.099932896146245,0.44925921791411494,0.20000000000000018,0.5000000000000001
000100000000000000000100000000000010,9204,0.17891470035425755,-0.893784787337905,1.0,1.1102230246251565E-16
010100000000100010000101011000001010,6182,1.1456883176431665,0.4158267697672571,0.20000000000000018,0.8
011000001000000001000101001000001001,6300,0.21203168617875126,-0.560517333429092,0.8,0.30000000000000016
010000000000000000000101011000001010,4806,0.14376478968308068,-0.8540829547318082,1.0,0.5000000000000001
000000000000000000000100001000000000,1336,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
011000000000000101000101011000001010,9254,0.10569156656788711,-0.7204243291470562,1.0,0.7000000000000001
111010000000000001000101001000001110,7078,0.44605047550149574,-0.44661289544173755,0.6000000000000001,0.5000000000000001
001000000000000001000100001100000000,4086,0.0,-0.5114106250106644,1.0,0.10000000000000009
111000001110010001101110011000010111,294,23.871955996629485,23.137090197550098,1.1102230246251565E-16,1.0
000000000000000000000101001000001010,7096,0.1,-0.7843137254901958,1.0,1.1102230246251565E-16
011000000010000011000101010001001010,830,0.18295552165892148,-0.41209614122598925,0.8,0.8
011000000000000001000101001000001010,3402,0.06666666666666668,-0.7058823529411766,1.0,0.30000000000000016
011000000000000001000100001000000010,4470,0.13333333333333336,-0.8823529411764707,1.0,0.30000000000000016
010000000000000010000100000000000010,9602,0.18679182349373774,-0.9819283448133448,1.0,0.30000000000000016
011010000000000001000101001010001010,4778,0.20838788245623738,-0.5151371173702661,0.8,0.6000000000000001
010100000000000000000100000000100010,7264,0.18694119916890967,-0.9227359506664701,1.0,0.5000000000000001
010000000000000000000100000000000010,3182,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000000000000101001000101010,6806,0.12305613725343698,-0.7757961716736255,1.0,0.5000000000000001
001010000000000011000100001000000000,5198,0.2162643328834356,-0.4366415344055796,0.8,0.40000000000000013
010000000000000100100100001000000010,9852,0.5131975315171073,-0.5325480154368656,0.6000000000000001,0.6000000000000001
010000000000000000000001000000001010,1814,0.1,-0.7843137254901958,1.0,0.10000000000000009
000110000000000000000100000000010010,1940,0.31435995913761855,-0.6042082237622475,0.8,0.7000000000000001
010000000000100000001100000000000010,7194,0.39794172165725417,-0.3155092056877915,0.6000000000000001,0.20000000000000018
010000001000000010000101001100001011,9354,0.4705915789532926,-0.465739034320938,0.6000000000000001,0.8
011100000111010001001110010000000010,552,23.814789273727182,23.24123343387643,1.1102230246251565E-16,1.0
010000000010000000000100001000000010,8232,0.31203168617875127,-0.8630383418324536,0.8,1.1102230246251565E-16
010000000000000000000100011000010010,8306,0.52139183289866,-0.616255803967036,0.6000000000000001,0.5000000000000001
010000000000000000001100000000000010,2090,0.12,-0.8403361344537815,1.0,0.10000000000000009
010010000000010000010100011100010010,2584,23.897127308753483,23.138550487152152,1.1102230246251565E-16,1.0
000000000010000010000100000000100010,7948,0.1396821058316306,-0.7357878993627421,1.0,0.6000000000000001
011000000000000001000100001100000010,4126,0.1259137919867702,-0.7939875853986266,1.0,0.6000000000000001
010000010000000100001101000000001010,9156,0.6625188211911194,-1.872069476039906E-4,0.40000000000000013,0.6000000000000001
000000000000000000000100001000000010,2444,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
110011100100001110001010011001000110,0,23.873793147783772,23.184985002096916,1.1102230246251565E-16,1.0
011000000000000001000101001000001010,4434,0.06666666666666668,-0.7058823529411766,1.0,0.30000000000000016
101001000000000011001100000000000110,1544,1.0858133712027753,0.5411092874268103,0.20000000000000018,0.30000000000000016
000010000010000000000100011000000010,3172,0.31100603535224336,-0.7069388007232886,0.8,0.8
011000000000000001000101001000001010,8332,0.06666666666666668,-0.7058823529411766,1.0,0.30000000000000016
