Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
011101100110100001011110100000000000,7188,11.956723592782764,11.56883303770318,1.3877787807814457E-16,1.0
001111111010000001101110011110000001,4468,11.897223593865254,11.447030927413657,1.3877787807814457E-16,1.0
010110101011100110110111101110101001,2388,11.91099449754611,11.392353919796955,1.3877787807814457E-16,1.0
101100100100100111100110110100010100,6080,11.911659962865237,11.424126637932604,1.3877787807814457E-16,1.0
001101111110000111011111111001111001,4720,11.901572043485265,11.47592101496589,1.3877787807814457E-16,1.0
011011010110100011100110110000110000,6046,11.90790920573343,11.418475190508858,1.3877787807814457E-16,1.0
111011011111100101110111011110011101,2104,11.90613662723766,11.39062784024518,1.3877787807814457E-16,1.0
000111111010000000100111010010001001,3446,11.895603183431682,11.431803124494158,1.3877787807814457E-16,1.0
000001101101010010010010001100110001,9210,11.89597845842613,11.460578738827396,1.3877787807814457E-16,1.0
011010011011010101000100001001010001,990,11.9163598771815,11.338511486946494,1.3877787807814457E-16,1.0
110100010111100110010100011110100110,2324,11.926005011024749,11.327467966647566,1.3877787807814457E-16,1.0
101111001010010111100001011110001101,4852,11.899136779587256,11.441095432188865,1.3877787807814457E-16,1.0
011101110110001101111111110111101000,7330,11.919416822251389,11.528873701923107,1.3877787807814457E-16,1.0
010111111110000110101100011111100001,2566,11.911153422905228,11.401950397617465,1.3877787807814457E-16,1.0
011101110111100011101110101011110010,6720,11.899885667687938,11.47822184301651,1.3877787807814457E-16,1.0
111101110100000111100111111111001110,6644,11.910815479770564,11.380803660308421,1.3877787807814457E-16,1.0
010111001001110110110000001111000001,7036,11.893259817887209,11.464339492438913,1.3877787807814457E-16,1.0
011100010101100011101110101011110000,6726,11.899102843730516,11.460654917267284,1.3877787807814457E-16,1.0
110111101000100110011111011001001111,5562,11.915958409337383,11.311863326875024,1.3877787807814457E-16,1.0
111010110000011111110110111001000100,258,11.91099449754611,11.392353919796955,1.3877787807814457E-16,1.0
001101111111000011100110111001010001,4412,11.899102843730516,11.460654917267284,1.3877787807814457E-16,1.0
010100111100100000110111011000011011,6682,11.918266221046485,11.352611525419716,1.3877787807814457E-16,1.0
010001100111110000011111110101101000,9956,11.929236778428027,11.532189864938216,1.3877787807814457E-16,1.0
111111010111001101000110010010010100,4138,11.91144345665666,11.371166225156317,1.3877787807814457E-16,1.0
111101000011110011110001001001101110,5234,11.914019304139781,11.488526390497617,1.3877787807814457E-16,1.0
001101110111000111010111010111111000,7024,11.916151496883993,11.534197121229589,1.3877787807814457E-16,1.0
111010111010010111001010011100110111,210,11.92205154976716,11.290231107337817,1.3877787807814457E-16,1.0
001110101010100111010110010001100011,2234,11.918599689617198,11.340215630983804,1.3877787807814457E-16,1.0
111111111100101011101101001110101111,3860,11.894686985211845,11.440780403898474,1.3877787807814457E-16,1.0
011000110100000101000100011010100010,910,11.926369468939821,11.286471078985995,1.3877787807814457E-16,1.0
001111111010010011011011010111111001,6218,11.933808846968018,11.545932625371227,1.3877787807814457E-16,1.0
101111111010000111011010101001000101,3352,11.893259817887209,11.437998053754985,1.3877787807814457E-16,1.0
010111101010101110011110111101000011,5840,11.908114179189107,11.38121297094445,1.3877787807814457E-16,1.0
110101011110010110100011100101111101,6106,11.909906002662021,11.397822554108586,1.3877787807814457E-16,1.0
