Full Design,NFE,Target Ratio Objective,Stiffness Objective,Feasibility Score,Stability Score
101000000010000001000100000000000100,9224,0.0,-0.5882352941176472,1.0,1.1102230246251565E-16
000000000000000000000100000000000000,6414,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
101000001010000001000100000000000101,2768,0.08,-0.7352941176470589,1.0,0.30000000000000016
000000000000000000000100000000000000,4800,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000010000000000000001000000010,1354,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
100000001010000000000100000000000101,8500,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
000000000010000000000100000000000000,2578,0.0,-0.5882352941176471,1.0,1.1102230246251565E-16
101000001010000001000100000010000101,3966,0.039999999999999966,-0.6535947712418301,1.0,0.40000000000000013
000000000000000000000100000000000000,3204,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
101000001010000001000101001000001101,4084,0.033333333333333326,-0.6417112299465242,1.0,0.6000000000000001
000000000000000000000000001000000000,9726,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
010000000000000000000010000000000000,2028,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000000010000000000100001000000100,5764,0.15,-0.9411764705882353,1.0,1.1102230246251565E-16
100000001000000000001100000000000101,6404,0.12,-0.8403361344537815,1.0,0.10000000000000009
000010000001000000000010010000000010,306,0.18524225443488768,-0.858667075316474,1.0,0.7000000000000001
000000000010000000000101001000001010,2054,0.049999999999999975,-0.6722689075630253,1.0,0.10000000000000009
101000001010000001000100001000000101,4568,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
100000001010000000000100000010000101,4252,0.12,-0.8403361344537815,1.0,1.1102230246251565E-16
000000000010000000000100000000000010,2698,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
000000000000000000000101001000001010,1850,0.1,-0.7843137254901958,1.0,1.1102230246251565E-16
000000000000000000000100000000000000,7688,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000010000010001000100100100000100000,108,23.84005389521018,23.331198898533792,1.1102230246251565E-16,0.9
101000001010000001000100000000000101,4100,0.08,-0.7352941176470589,1.0,0.30000000000000016
100000000011000000000101001000001100,1568,0.04593948484291936,-0.6087113763369346,1.0,0.40000000000000013
000000000011000000000100000000000010,630,0.11927646690283837,-0.7287036029625049,1.0,1.1102230246251565E-16
000000000010000000000100001000000010,3032,0.15,-0.9411764705882353,1.0,1.1102230246251565E-16
000000000010000000000100001000000000,1604,0.1,-0.7843137254901958,1.0,1.1102230246251565E-16
000000000000000000000100000000000010,1090,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
101000001010000001000100001010000101,8392,0.06666666666666668,-0.7058823529411766,1.0,0.6000000000000001
100000001010000000000100000000000101,4678,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
100000001010000000000100000000000101,5504,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
000000000001000000000000000001000000,188,0.0,-0.2941176470588234,1.0,0.10000000000000009
010000000000000000000100011000000010,3082,0.197592740842366,-1.061483611711592,1.0,0.5000000000000001
000000000010000000000100000000000010,1578,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
100000001000000000001100000000000101,4236,0.12,-0.8403361344537815,1.0,0.10000000000000009
100000001000000000000100001000000101,7600,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000000000000100000000000010,2468,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000001010000000000100000000000101,6560,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
001000001010000001000100000000000001,7046,0.0,-0.5882352941176472,1.0,1.1102230246251565E-16
100000000100000000001111010000001100,388,0.6659377538386309,-0.034058217625285825,0.40000000000000013,0.7000000000000001
000000000001000000000000000000100000,212,0.15035448268068052,-0.5751810637389536,1.0,0.20000000000000018
000000001000000000000100000000000001,6938,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
101000001010000001000100001000000101,6498,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
000000000010000000000100000000000010,1690,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
010000001001000000000100000100000011,260,0.7785605389119497,-0.32563683333577453,0.40000000000000013,0.5000000000000001
000000001010000000000100001000000001,9214,0.15,-0.9411764705882353,1.0,1.1102230246251565E-16
000000000010000000000101001000001010,1502,0.049999999999999975,-0.6722689075630253,1.0,0.10000000000000009
000000001000000000001100000000000001,2160,0.0666666666666667,-0.7058823529411766,1.0,1.1102230246251565E-16
001000001010000001000100000000000001,4042,0.0,-0.5882352941176472,1.0,1.1102230246251565E-16
010000000000000000000100001000000000,8242,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000000000000100000000000000,4826,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000000000000100001000000000,6554,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000001010000000001100000010000101,8362,0.039999999999999966,-0.6535947712418301,1.0,0.40000000000000013
101000001010000001000100000000000101,8060,0.08,-0.7352941176470589,1.0,0.30000000000000016
000000000000000000000011000000001000,1814,0.0,-0.5882352941176471,1.0,1.1102230246251565E-16
100000000001000000000000000001100100,304,0.3068675389670266,-0.5437796526071424,0.8,0.5000000000000001
000000000000000000000000001000000010,1590,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000001010000000000101001000001101,7870,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
000000000001000000000011010000001010,558,0.11553502307807781,-0.7052079407085953,1.0,0.6000000000000001
101000001010000001000100000000000101,3424,0.08,-0.7352941176470589,1.0,0.30000000000000016
000000000000000000000100001000000000,9320,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000000000000000001000000000,9060,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000000000000000000000000000000100,2274,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000000100000000110000100100010,166,1.1939290271678626,0.30558408584559216,0.20000000000000018,0.6000000000000001
100000001010000000000100001000000101,4820,0.16666666666666666,-1.0084033613445378,1.0,1.1102230246251565E-16
010000000000000000000000000000000000,5098,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000001010000000000100000000000101,9224,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
101000001000000001000100001000000101,9950,0.13333333333333333,-0.8823529411764706,1.0,0.30000000000000016
010000000000000000000101001000001010,7748,0.13333333333333336,-0.8823529411764707,1.0,0.30000000000000016
100000001010000000000100000000000101,8012,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
000000000000000000000101001000001010,1556,0.1,-0.7843137254901958,1.0,1.1102230246251565E-16
001000001010000001000100001000000001,4250,0.05,-0.6722689075630254,1.0,1.1102230246251565E-16
100000001000000000000100000000000101,4828,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000010000000000100000000000000,1540,0.0,-0.5882352941176471,1.0,1.1102230246251565E-16
001000001010000001000100001000000001,4162,0.05,-0.6722689075630254,1.0,1.1102230246251565E-16
000000000000000000000100000000000010,3234,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
101000001010000001000100000000000101,8080,0.08,-0.7352941176470589,1.0,0.30000000000000016
100000001010000000000100000000000101,9800,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
000010000001000000000011010000001000,312,0.10289207880381461,-0.6206680876885421,1.0,0.7000000000000001
010000000000000000000100000000000000,9110,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000000010000000000100000000000100,7774,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
000000000000000000000100001000000010,1974,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
111001000101100111100010100111110100,0,23.82511729300685,23.31751079882276,1.1102230246251565E-16,1.0
000000000000100000000010010010000000,332,1.1052646955206322,0.49415626469658513,0.20000000000000018,0.30000000000000016
100000001000000000000100000010000101,4768,0.16,-0.9803921568627452,1.0,1.1102230246251565E-16
100000001000000000000101001000001101,8140,0.13333333333333333,-0.8823529411764706,1.0,0.30000000000000016
000000000000000000000100001000000000,8926,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
000000000001000010000000000000000010,434,0.2931242445193363,-0.5142351825818228,0.8,1.1102230246251565E-16
101000001000000001000100001000000101,5654,0.13333333333333333,-0.8823529411764706,1.0,0.30000000000000016
010101000001000000000011000100001000,276,23.786519635774418,23.300209696496633,1.1102230246251565E-16,0.7000000000000001
001000001010000001000100000000000001,7408,0.0,-0.5882352941176472,1.0,1.1102230246251565E-16
100000001010000000000100001000000101,7980,0.16666666666666666,-1.0084033613445378,1.0,1.1102230246251565E-16
100000001010000000000100001000000101,8860,0.16666666666666666,-1.0084033613445378,1.0,1.1102230246251565E-16
000010000001000000000101000000001010,614,0.09788165067919712,-0.6507284829759833,1.0,0.5000000000000001
101000001010000001000100000000000101,8306,0.08,-0.7352941176470589,1.0,0.30000000000000016
000000000010000000000100000000000000,1190,0.0,-0.5882352941176471,1.0,1.1102230246251565E-16
001000001010000001000100001000000001,9226,0.05,-0.6722689075630254,1.0,1.1102230246251565E-16
101000001010000001000100001000000101,9730,0.09999999999999998,-0.7843137254901961,1.0,0.6000000000000001
100000001010000000000100000010000101,6392,0.12,-0.8403361344537815,1.0,1.1102230246251565E-16
001000001010000001000100000000000001,7960,0.0,-0.5882352941176472,1.0,1.1102230246251565E-16
101000001010000001000100000010000101,7096,0.039999999999999966,-0.6535947712418301,1.0,0.40000000000000013
101000001010000001000100000000000101,4760,0.08,-0.7352941176470589,1.0,0.30000000000000016
101010000001000001000011100001001100,356,0.18669877676361582,-0.38212300995995274,0.8,0.9
000000000000000000000100001000000000,8936,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
100000001000000000001100000000000101,9910,0.12,-0.8403361344537815,1.0,0.10000000000000009
000000000010000000000101001000001010,2248,0.049999999999999975,-0.6722689075630253,1.0,0.10000000000000009
101000001010000001000100000000000101,6142,0.08,-0.7352941176470589,1.0,0.30000000000000016
000000001010000000000100000000000001,3852,0.13333333333333336,-0.8823529411764707,1.0,1.1102230246251565E-16
100000001000000000001100000000000101,7606,0.12,-0.8403361344537815,1.0,0.10000000000000009
000000000000000000000100000000000010,8510,0.2,-1.1764705882352942,1.0,1.1102230246251565E-16
010000100011000000010000000000010000,158,0.713561857160121,0.26728871583252806,0.40000000000000013,0.6000000000000001
