Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score,Orientation Score
110010001000000100000100101010010101,4196,0.3890977352152419,-151.45201076064802,0.9506386543961158,1289033.3365023644,0.40000000000000013,1.0,0.7
101000001000000101000101001010001101,3434,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
110000001000000100000101101010001101,2632,0.3040430541056079,-141.78638760182096,0.9655933964871487,1206127.1518013477,0.6000000000000001,1.0,0.8
100000001000000010000101001010101101,754,0.2239574746497932,-127.38460168610449,0.877512340728825,1083180.9818871724,0.8,1.0,0.9
100000001000000100000100101010010101,9012,0.1928604960063716,-136.78139655580625,0.9643024800318579,1162641.8707243532,1.0,1.0,0.8
111100101111100111011111000001101101,0,7.950080276116757,-76.03140696602415,0.1062019876264193,713662.0981792328,1.1102230246251565E-16,1.0,1.0
101000001000000011000101001110001101,1250,0.04940593026310125,-103.63517400532733,0.24702965131550625,880898.9790452824,1.0,1.0,1.0
000110101000000010000101001110001001,394,0.24715398868513005,-62.13960441604072,0.24091992174555676,529877.8825732023,0.40000000000000013,1.0,1.0
110000001000000000000101001010001101,5020,0.4218487496163563,-155.1749426942339,1.0,1320872.727272727,0.6000000000000001,0.6000000000000001,0.8
101000001000000101000101001010001101,8584,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
101000001000000101000101001010011101,2420,0.0860751558957034,-111.2965665016384,0.430375779478517,946020.8152639264,1.0,1.0,1.0
101000001000000101000101001010001101,2656,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
110000001000000000000101001010001101,4636,0.4218487496163563,-155.1749426942339,1.0,1320872.727272727,0.6000000000000001,0.6000000000000001,0.8
111010101010101001100110011110110101,148,8.016004494603088,-93.30931762020576,0.4358230800580706,860524.3387397765,1.1102230246251565E-16,1.0,0.9
110000001000000100000101001010001101,8964,0.32675110294412013,-150.2160391930161,0.9647399142780219,1277973.6596613892,0.6000000000000001,0.9,0.8
101000001000000101000101101010001101,6414,0.08690372635905252,-112.74225704693912,0.4345186317952626,958309.1848989825,1.0,1.0,1.0
101000001000000011000101001110001101,1558,0.04940593026310125,-103.63517400532733,0.24702965131550625,880898.9790452824,1.0,1.0,1.0
101000001000000101000101001010011101,2690,0.0860751558957034,-111.2965665016384,0.430375779478517,946020.8152639264,1.0,1.0,1.0
101000001000000101000100101010000101,6662,0.17562502766927449,-130.5500109647994,0.8781251383463724,1109675.0932007951,1.0,1.0,0.9
101000001000000101000100101010010101,4088,0.14746639251362273,-122.18141241701018,0.7373319625681136,1038542.0055445866,1.0,1.0,0.9
101000001000000011000101001100011101,6504,0.057402722085439284,-104.53981600844907,0.2870136104271964,888588.4360718171,1.0,1.0,0.9
101000001000000101000100101010010101,9362,0.14746639251362273,-122.18141241701018,0.7373319625681136,1038542.0055445866,1.0,1.0,0.9
111000001000000101000100101010000101,3842,0.2915601063068104,-141.78638760182096,0.9031786574931611,1206127.1518013477,0.6000000000000001,1.0,0.8
110000001000000100000101001010001101,9378,0.32675110294412013,-150.2160391930161,0.9647399142780219,1277973.6596613892,0.6000000000000001,0.9,0.8
110000001000000100000101001010001101,5094,0.32675110294412013,-150.2160391930161,0.9647399142780219,1277973.6596613892,0.6000000000000001,0.9,0.8
100000001000000100000100101010010101,9004,0.1928604960063716,-136.78139655580625,0.9643024800318579,1162641.8707243532,1.0,1.0,0.8
101000001000000011000101001010011101,9528,0.04026063910666924,-100.31506767665797,0.2013031955333462,852678.0752515928,1.0,1.0,1.0
101000001000000011000101001100011101,2236,0.057402722085439284,-104.53981600844907,0.2870136104271964,888588.4360718171,1.0,1.0,0.9
101000001000000101000101011010001101,8592,0.15414657307191532,-122.33829520238247,0.5284578328394356,1040287.3767755352,0.8,1.0,0.9
101000001100000101000101011010001101,1034,0.1510887547393996,-115.42949004901949,0.513168741176857,981562.5329719499,0.8,1.0,0.9
101000001000000101000101001010001101,7814,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
101000001000000101000101001010011101,6772,0.0860751558957034,-111.2965665016384,0.430375779478517,946020.8152639264,1.0,1.0,1.0
101000001000000101000101001010001101,2270,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
101000001000000101000101001010001101,3684,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
101000001000000101000101001010001101,8226,0.11200460725061731,-118.94859002733628,0.4456293098513987,1011257.4845672413,1.0,0.9,0.9
101000001000000101000100101010000101,2404,0.17562502766927449,-130.5500109647994,0.8781251383463724,1109675.0932007951,1.0,1.0,0.9
110000001000000100000101001010001101,8182,0.32675110294412013,-150.2160391930161,0.9647399142780219,1277973.6596613892,0.6000000000000001,0.9,0.8
101000001000000011000101001110001101,3046,0.04940593026310125,-103.63517400532733,0.24702965131550625,880898.9790452824,1.0,1.0,1.0
100000001000000100000100101010010101,7714,0.1928604960063716,-136.78139655580625,0.9643024800318579,1162641.8707243532,1.0,1.0,0.8
100000001000000100000100101010010101,4228,0.1928604960063716,-136.78139655580625,0.9643024800318579,1162641.8707243532,1.0,1.0,0.8
100000001000000100000101001010001101,9282,0.2138982593590241,-139.0559840669902,0.9550975703934327,1182170.3339042994,1.0,0.9,0.8
110000001000000000000101001010001101,9128,0.4218487496163563,-155.1749426942339,1.0,1320872.727272727,0.6000000000000001,0.6000000000000001,0.8
101000001000000101000100101010000101,7176,0.17562502766927449,-130.5500109647994,0.8781251383463724,1109675.0932007951,1.0,1.0,0.9
110010011010010100011110001000010111,126,8.041769611531285,-102.83205600221534,0.5646486646990603,941467.6149868579,1.1102230246251565E-16,1.0,0.8
101000001000000101000100101010010101,4790,0.14746639251362273,-122.18141241701018,0.7373319625681136,1038542.0055445866,1.0,1.0,0.9
101000001000000101000101101010001101,8902,0.08690372635905252,-112.74225704693912,0.4345186317952626,958309.1848989825,1.0,1.0,1.0
111010101000000011000101101011001101,214,0.42084631972775455,-100.19933070057077,0.3568065877987263,854664.9334732796,0.20000000000000018,1.0,0.9
