Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
101101011111101011111101010110111101,3924,11.929499745778346,11.552885376249934,1.3877787807814457E-16,1.0
001110111111011011111111101100111011,6490,11.903653541289986,11.489248965855385,1.3877787807814457E-16,1.0
101100000101110111100011010011001110,1042,11.895253086639068,11.439225150001887,1.3877787807814457E-16,1.0
011010101011110001100001111011101011,8246,11.894980076154331,11.424817804750706,1.3877787807814457E-16,1.0
000001111010001010001111101100111011,6492,11.895201296941678,11.436157344673283,1.3877787807814457E-16,1.0
101101101110010001110010111010100101,2758,11.8989053159167,11.445328928422468,1.3877787807814457E-16,1.0
101101000101000011010110010101000110,1342,11.912053548723032,11.370673458931456,1.3877787807814457E-16,1.0
100111001110101100110110101111110101,2720,11.910587080147673,11.400315853438821,1.3877787807814457E-16,1.0
011001111110011001110111101111011011,8872,11.91320940892119,11.492006090314902,1.3877787807814457E-16,1.0
011011011100101101000111101101011001,3710,11.903124723297509,11.409116519039324,1.3877787807814457E-16,1.0
110111000111000010101101101010101110,9574,11.906672496277826,11.376638361930528,1.3877787807814457E-16,1.0
111101000101011001100101101011011100,9788,11.92571630404009,11.525774923928859,1.3877787807814457E-16,1.0
101111001111100101000100010100110101,1066,11.914586943064862,11.369327833022991,1.3877787807814457E-16,1.0
100100101000011100110111111100011111,1900,11.913621805655449,11.360273593524196,1.3877787807814457E-16,1.0
110110100111010110001110100000110110,7964,11.92199767357749,11.312913803711375,1.3877787807814457E-16,1.0
000100011001111100111111001100001011,9612,11.897001483486545,11.4571743722285,1.3877787807814457E-16,1.0
001001101110001101110111100111111001,2794,11.920551911331275,11.527151688086976,1.3877787807814457E-16,1.0
101010001101001011100110111001110111,8786,11.934641131631423,11.265558497526863,1.3877787807814457E-16,1.0
101101101010001111001011111111101111,1730,11.894754319037963,11.411954582834593,1.3877787807814457E-16,1.0
011011001111000001010101101110011001,4700,11.907614805481048,11.465458989214104,1.3877787807814457E-16,1.0
011001111111011001110111101110111011,8840,11.905280564068576,11.47313506463503,1.3877787807814457E-16,1.0
001101011111011001100110010110000001,7258,11.914652586951764,11.51117032720059,1.3877787807814457E-16,1.0
010100000100001000110111011001101010,344,11.924488300968648,11.314016976624739,1.3877787807814457E-16,1.0
001110110011010111100010110111010000,6822,11.90180568081619,11.521437764103274,1.3877787807814457E-16,1.0
100110111111011000011000111111000111,6558,11.895017375492536,11.46372890703636,1.3877787807814457E-16,1.0
100111001101000000100111010001011111,900,11.928986770236099,11.277033958857093,1.3877787807814457E-16,1.0
101111000001010101110101111111001110,1762,11.894902007412583,11.446307519548492,1.3877787807814457E-16,1.0
000101011110101100110101101101011011,2382,11.90324818595235,11.50549284628492,1.3877787807814457E-16,1.0
