Full Design,Penalized Target Ratio Objective,Penalized Stiffness Objective,Feasibility Score,Stability Score
100111000110001100001110111101110100,11.917299465542468,11.358647075988156,1.3877787807814457E-16,1.0
000100110010101000011100110101010010,11.930200649511026,11.577690592849585,1.3877787807814457E-16,1.0
010100101011001010101011111101111001,11.903343233219296,11.431261131864124,1.3877787807814457E-16,1.0
001110101100100101101001011110111001,11.901222166432005,11.486696807033539,1.3877787807814457E-16,1.0
010000101110111100101110110001010001,11.896842194245238,11.43806898227144,1.3877787807814457E-16,1.0
010100001110111100101110110001010001,11.903912911503928,11.415866148278024,1.3877787807814457E-16,1.0
100111101101100010111001011100111101,11.898640498715695,11.485299282245068,1.3877787807814457E-16,1.0
010100110100011000001110110001010000,11.895766856615419,11.475883377154046,1.3877787807814457E-16,1.0
011100101101100111001011110001111011,11.908164207264504,11.391982734641942,1.3877787807814457E-16,1.0
011101100011011111101110110111000000,11.923926726183923,11.530572480720597,1.3877787807814457E-16,1.0
010000111011111010000011111000111001,11.896842194245238,11.43806898227144,1.3877787807814457E-16,1.0
010110101111001100001010111001110001,11.922914776420003,11.339184795439081,1.3877787807814457E-16,1.0
111100100110111101000110111101000100,11.901831304484308,11.407700057788377,1.3877787807814457E-16,1.0
011110101010101101111110001111110001,11.896230952390829,11.437563761249908,1.3877787807814457E-16,1.0
110111101000100100011110111100010101,11.918297699832545,11.324974487431925,1.3877787807814457E-16,1.0
010110101110011010010100111000010001,11.903404305115338,11.422770917268595,1.3877787807814457E-16,1.0
011101100011001101001110111101110000,11.89506838035754,11.43969945787545,1.3877787807814457E-16,1.0
101110100010011111101110110111000100,11.902513788862088,11.480836882471271,1.3877787807814457E-16,1.0
000101101011011110001110100010110001,11.91364963156364,11.49554648270611,1.3877787807814457E-16,1.0
100001100010001100001110100001100100,11.893259817887209,11.420559946384842,1.3877787807814457E-16,1.0
100101101011101100001110111101110101,11.906881106146392,11.398326786826779,1.3877787807814457E-16,1.0
011100100101110111001101110001111000,11.917778806191736,11.52847102130076,1.3877787807814457E-16,1.0
101111001111001111001011011000011101,11.896723735059114,11.410018666352777,1.3877787807814457E-16,1.0
111110101011101011100010101101110101,11.91354114190771,11.391573679450246,1.3877787807814457E-16,1.0
111110101111001101001011011011111101,11.907989126566079,11.370073744717319,1.3877787807814457E-16,1.0
000111001111001100000011011111111001,11.908850075100371,11.397011555161555,1.3877787807814457E-16,1.0
100100101110111100011110111110010101,11.896767143117174,11.45021049480041,1.3877787807814457E-16,1.0
000111001110111000001100111000010001,11.916913715910232,11.504707700430131,1.3877787807814457E-16,1.0
000100110011001100000011011111011000,11.901088287184585,11.505594322141322,1.3877787807814457E-16,1.0
101110100010001101001110111100010100,11.90639331909702,11.390912471388978,1.3877787807814457E-16,1.0
101100100010011111101000111000010100,11.92593005648458,11.543170575761387,1.3877787807814457E-16,1.0
000100110010111000011100101001000000,12.02845937233794,11.68237551309067,1.3877787807814457E-16,1.0
100100110011110010100010111101000100,11.89758593310135,11.479542479056438,1.3877787807814457E-16,1.0
111100100100111101000110111110000100,11.902072878698092,11.398626147171061,1.3877787807814457E-16,1.0
111100100110111101000110110000010100,11.89706161274029,11.422270504325924,1.3877787807814457E-16,1.0
010100011011101010000100011100000011,11.925415187883338,11.322795635745809,1.3877787807814457E-16,1.0
000100111011111010001011111000111001,11.914265787078682,11.516084277026827,1.3877787807814457E-16,1.0
111110101110100011101011110110101101,11.89924380538438,11.419020453964215,1.3877787807814457E-16,1.0
100110101110000010100010101001000101,11.929638667360342,11.315038019031928,1.3877787807814457E-16,1.0
010100010010111110000110111110000000,11.905204709516113,11.414498711216876,1.3877787807814457E-16,1.0
001101100011110111100010111101000000,11.923325467673921,11.548402636049714,1.3877787807814457E-16,1.0
001110101011000011100010100001100001,11.909820541337831,11.42349863498237,1.3877787807814457E-16,1.0
011100100101111111011100111010010000,11.9338202465601,11.559243060080018,1.3877787807814457E-16,1.0
001111000100110111001001110001111000,11.943459393909627,11.578572043341783,1.3877787807814457E-16,1.0
100000111010101010001110100001000101,11.893443690523899,11.446202387196786,1.3877787807814457E-16,1.0
111110101011101011100010101101110101,11.91354114190771,11.391573679450246,1.3877787807814457E-16,1.0
010110100110011000101110111100010000,11.899048902117523,11.439290701961852,1.3877787807814457E-16,1.0
001111000100111101101110111100110000,11.900351477893768,11.480911231929566,1.3877787807814457E-16,1.0
100110101110111100111000111111110101,11.898052349657656,11.486184819636948,1.3877787807814457E-16,1.0
100101101010101000111100101001000101,11.929085656846597,11.53940691919107,1.3877787807814457E-16,1.0
111110100100111101101110111100110100,11.906788013823672,11.40343412066587,1.3877787807814457E-16,1.0
100101000100110110011000111010010100,11.927409239576468,11.540127917479863,1.3877787807814457E-16,1.0
001111101101100111001101110000111001,11.907269282035099,11.49905371089636,1.3877787807814457E-16,1.0
000100110101111110011100111111010000,11.93653394943999,11.595198788359912,1.3877787807814457E-16,1.0
100101101010001010111011110010101101,11.913701246983921,11.495711749030782,1.3877787807814457E-16,1.0
100101101011101000111100111100110101,11.902855421062602,11.492320288844757,1.3877787807814457E-16,1.0
