Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score
101000001010000001000111001010001111,8478,0.08,-73.5294117647059,0.4,625000.0000000001,1.1102230246251565E-16,0.6000000000000001
111101001010010101110111101010101111,556,0.040588617265489166,-55.40137505209717,0.20294308632744584,470911.68794282596,1.1102230246251565E-16,1.0
101000001010000001000110001010000111,6614,0.16,-84.03361344537815,0.8,714285.7142857143,1.1102230246251565E-16,0.6000000000000001
111000001010000001000111001010001101,2580,0.08,-73.5294117647059,0.4,625000.0000000001,1.1102230246251565E-16,0.6000000000000001
101000001010000001000111001010001111,8242,0.08,-73.5294117647059,0.4,625000.0000000001,1.1102230246251565E-16,0.6000000000000001
111000001010010001000111101010001111,2616,0.0652464479147538,-67.36154794214588,0.326232239573769,572573.15750824,1.1102230246251565E-16,0.8
101000001110000001000111011010111111,452,0.09913649390691995,-67.05414153595375,0.4956824695345997,569960.2030556068,1.1102230246251565E-16,1.0
111000001010000001000111001010001111,9974,0.1,-78.4313725490196,0.5,666666.6666666666,1.1102230246251565E-16,0.6000000000000001
111000001010000001000111001010001111,8046,0.1,-78.4313725490196,0.5,666666.6666666666,1.1102230246251565E-16,0.6000000000000001
111000001010010001000111011010001111,2102,0.07904680779801183,-70.73734314914856,0.39523403899005916,601267.4167677627,1.1102230246251565E-16,0.8
111000001010010001000111011010001111,2660,0.07904680779801183,-70.73734314914856,0.39523403899005916,601267.4167677627,1.1102230246251565E-16,0.8
111000001010000001000111001000001111,2656,0.13333333333333336,-83.04498269896196,0.6666666666666667,705882.3529411766,1.1102230246251565E-16,0.6000000000000001
111101001010000001000111001010001111,7970,0.06524644791475384,-67.36154794214589,0.32623223957376923,572573.1575082401,1.1102230246251565E-16,0.8
101001001010000001000111011010001101,7478,0.027411599644733543,-60.44790669118857,0.1370579982236677,513807.2068751028,1.1102230246251565E-16,0.8
111110001010011101000101100011001101,548,0.005821892898082703,-46.403749283984006,0.029109464490413517,394431.8689138641,1.1102230246251565E-16,1.0
101010001001010111001111111010011111,426,0.0685836628283842,-57.93495170625614,0.342918314141921,492447.0895031772,1.1102230246251565E-16,1.0
101011101011011101001111111111111101,140,0.014983699199432233,-44.615955230705474,0.07491849599716116,379235.61946099653,1.1102230246251565E-16,1.0
