Full Design,NFE,Penalized Target Ratio Objective,Penalized Stiffness Objective,True Target Ratio Objective,True Stiffness Objective,Feasibility Score,Stability Score
101000001000000011000101001110001101,5804,0.04940593026310123,-57.06154278456522,0.24702965131550614,485023.11366880435,1.0,1.0
101000001000000101000101101010001101,6078,0.08690372635905255,-62.075904111297845,0.43451863179526273,527645.1849460317,1.0,1.0
100000001000000000000101001010001101,1882,0.31092437480817814,-78.32044817421142,1.0,666666.6666666666,1.0,0.6000000000000001
101000001000000111000100111000000101,1918,0.17476233727789792,-69.98274766542788,0.8738116863894896,594853.355156137,1.0,1.0
101000001000000011000101001010011101,4266,0.04026063910666926,-55.23349172814558,0.2013031955333463,469484.67968923744,1.0,1.0
101000001000000101000101101010001101,8976,0.08690372635905255,-62.075904111297845,0.43451863179526273,527645.1849460317,1.0,1.0
001011111100111111110111011111001001,0,8.005449060840238,-25.925510034711436,0.3830459112438207,287761.97426307475,1.1102230246251565E-16,1.0
101000001000000101000101011010001101,8984,0.15414657307191532,-67.33770852663464,0.5284578328394356,572782.3900316787,0.8,1.0
101000001000000101000101001010001101,9072,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000101000100101010010101,4346,0.14746639251362273,-67.27310451327507,0.7373319625681136,571821.3883628381,1.0,1.0
101000001000000101000100101010000101,8076,0.1756250276692745,-71.8808561638583,0.8781251383463725,610987.2773927955,1.0,1.0
101000001000000101000101011010001101,9524,0.15414657307191532,-67.33770852663464,0.5284578328394356,572782.3900316787,0.8,1.0
100000001000000100000101001011001101,2576,0.19129451375359138,-70.16466066105527,0.9564725687679569,596399.6156189698,1.0,1.0
101000001000000111000101001110001101,3780,0.0728262713374023,-59.15075730073456,0.36413135668701146,502781.43705624377,1.0,1.0
101000001000000101000100101010010101,8962,0.14746639251362273,-67.27310451327507,0.7373319625681136,571821.3883628381,1.0,1.0
100000001000000100000101001010001101,2348,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
101000001000000101000101011010001101,7490,0.15414657307191532,-67.33770852663464,0.5284578328394356,572782.3900316787,0.8,1.0
101000001000000101000101001010001101,4088,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000101000101001010001101,1818,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
100010001000000000000100101010010101,8268,0.1928604960063716,-75.31185803094719,0.9643024800318579,640150.7932630512,1.0,1.0
010011000110110100010010001111000010,0,7.9397808083209505,-26.088226481459785,0.05470464864738789,289145.0640604357,1.1102230246251565E-16,1.0
101000001000000101000100101010000101,9710,0.1756250276692745,-71.8808561638583,0.8781251383463725,610987.2773927955,1.0,1.0
101000001000000101000100101010000101,4126,0.1756250276692745,-71.8808561638583,0.8781251383463725,610987.2773927955,1.0,1.0
100000001000000100000101001010001101,1472,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
101000001000000101000100101010000101,8566,0.1756250276692745,-71.8808561638583,0.8781251383463725,610987.2773927955,1.0,1.0
110000001000000100000100101010010101,4676,0.3052534367760176,-81.22108588838253,0.971645309839197,691322.0872371211,0.6000000000000001,1.0
101000001010000011000101001110001101,7846,0.0,-53.21342441674865,0.0,452314.1075423635,1.0,1.0
101011110010000101111110110111000110,0,7.947658076210051,-27.490356008277857,0.09409098809289063,301063.1650383893,1.1102230246251565E-16,1.0
110000001000000100000101001010001101,2928,0.3267511029441201,-82.64884323664788,0.9647399142780217,703652.4940322593,0.6000000000000001,0.9
110000001000000100000101001010001101,3620,0.3267511029441201,-82.64884323664788,0.9647399142780217,703652.4940322593,0.6000000000000001,0.9
100000001000000100000101001010001101,7006,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
100010001000000100000100101010010101,7670,0.23651939335477293,-78.67484161758615,0.9403219342537237,669148.0213047665,0.8,1.0
101000001000000111000101001110001101,4688,0.0728262713374023,-59.15075730073456,0.36413135668701146,502781.43705624377,1.0,1.0
110000001000000100000100101010010101,4454,0.3052534367760176,-81.22108588838253,0.971645309839197,691322.0872371211,0.6000000000000001,1.0
101000001000000101000101001010001101,2178,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000101000101001010011101,9938,0.08607515589570339,-61.27990667417598,0.4303757794785169,520879.20673049585,1.0,1.0
101000001000000101000101001010001101,2092,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
110000001000000100000100101010010101,6220,0.3052534367760176,-81.22108588838253,0.971645309839197,691322.0872371211,0.6000000000000001,1.0
100000001000000100000101001010001101,880,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
110001110110000010001101111000111110,106,7.993581959602182,-31.76838319915131,0.32371040505354687,337426.3961608137,1.1102230246251565E-16,1.0
101000001000000101000101001010001101,7454,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000101000101011010001101,7296,0.15414657307191532,-67.33770852663464,0.5284578328394356,572782.3900316787,0.8,1.0
101000001000000111000101001110001101,5524,0.0728262713374023,-59.15075730073456,0.36413135668701146,502781.43705624377,1.0,1.0
101000001000000111000101101010001101,5352,0.06697001124033955,-58.30308146850388,0.3348500562016977,495576.192482283,1.0,1.0
101000001000000111000101001110001101,1654,0.0728262713374023,-59.15075730073456,0.36413135668701146,502781.43705624377,1.0,1.0
111000001000000111000101100001001101,566,0.2089649154928302,-63.071861185327414,0.4902027034232601,537053.6772611525,0.6000000000000001,1.0
001100101101000001000011001110111011,0,7.953374345018679,-33.940022013357584,0.12267233213602591,355885.326081567,1.1102230246251565E-16,1.0
101000001100000011000101001110001101,1670,0.047553972009845055,-53.783413943327325,0.2377698600492253,457159.0185182823,1.0,1.0
101000001000000101000101001010011101,8772,0.08607515589570339,-61.27990667417598,0.4303757794785169,520879.20673049585,1.0,1.0
100000001000000100000101011010001101,2304,0.24099347722010883,-77.34149170670733,0.9626923535804032,657814.5470622965,0.8,1.0
101000001000000101000100101010010101,7344,0.14746639251362273,-67.27310451327507,0.7373319625681136,571821.3883628381,1.0,1.0
011100101111001101000101010010101011,344,7.932789101979514,-31.820924485917615,0.019746116940203784,337872.99709832727,1.1102230246251565E-16,1.0
001011000111111101101001011111101000,0,8.128639878591473,7.92883970691739,0.999,0.0014592297077744383,1.1102230246251565E-16,1.0
111000101011001111001101001001001111,376,7.967230624904846,-43.86007852789063,0.19195373156686102,440205.80645509786,1.1102230246251565E-16,1.0
101000001010000001000101101010001101,7140,0.04845500650402824,-54.8643594614398,2.220446049250313E-16,466758.92297752254,1.0,0.8
101000001000000111000100011010000101,1372,0.2208574586217922,-71.81523306867217,0.8620122605888201,610841.3486389976,0.8,1.0
101110101010010001000011011011101101,178,7.946898292870449,-42.024842314550206,0.09029207139487694,424606.2986417043,1.1102230246251565E-16,1.0
101000001000000011000101000011001101,1360,0.029289321881345188,-51.87793157918644,0.14644660940672594,440962.4184230847,1.0,1.0
100000001000000100000101001010001101,2898,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
101000001000000111000100111000000101,1650,0.17476233727789792,-69.98274766542788,0.8738116863894896,594853.355156137,1.0,1.0
111000001000000111000101001001001111,620,0.5204436711898596,-72.9890540316736,0.6125183125891105,623789.4493429379,0.20000000000000018,0.8
101000001010000111000101101000011101,498,0.13505022428227742,-55.91875558639494,0.43297608889124617,475721.2900396412,0.8,1.0
101000001000000101000101011010001101,6156,0.15414657307191532,-67.33770852663464,0.5284578328394356,572782.3900316787,0.8,1.0
111000101000101101110010110111100101,0,8.014906364310031,-40.55064859419302,0.43033242859278553,412075.6520186682,1.1102230246251565E-16,1.0
100000001000000100000101001010001101,7510,0.21389825935902407,-76.55396456067193,0.9550975703934326,650903.1681005943,1.0,0.9
101000001010000001000101001110001101,7756,0.048455006504028196,-54.86435946143981,0.0,466758.92297752266,1.0,0.8
101000001000000101000101001010001101,2876,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000101000101001010001101,4434,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
111000001000000111000101000001001111,524,0.5163229023477449,-71.41453842084324,0.5919144683785376,610406.0666508799,0.20000000000000018,0.8
101000001000000111000101101010001101,4414,0.06697001124033955,-58.30308146850388,0.3348500562016977,495576.192482283,1.0,1.0
101000001000000111000101101010001101,6370,0.06697001124033955,-58.30308146850388,0.3348500562016977,495576.192482283,1.0,1.0
101000001000000011000101001110001101,6360,0.04940593026310123,-57.06154278456522,0.24702965131550614,485023.11366880435,1.0,1.0
101000001000000101000101001010001101,7788,0.11200460725061726,-65.4828303025209,0.4456293098513985,556798.5269063105,1.0,0.9
101000001000000111000100111000000101,1382,0.17476233727789792,-69.98274766542788,0.8738116863894896,594853.355156137,1.0,1.0
